Time, Disp
0,20
0.001,20.3707
0.002,20.7286
0.003,21.0739
0.004,21.4063
0.005,21.726
0.006,22.0328
0.007,22.3268
0.008,22.608
0.009,22.8762
0.01,23.1317
0.011,23.3743
0.012,23.6041
0.013,23.8211
0.014,24.0254
0.015,24.217
0.016,24.3959
0.017,24.5623
0.018,24.7162
0.019,24.8577
0.02,24.9868
0.021,25.1037
0.022,25.2084
0.023,25.3011
0.024,25.3819
0.025,25.4508
0.026,25.5081
0.027,25.5538
0.028,25.5881
0.029,25.6112
0.03,25.6231
0.031,25.6241
0.032,25.6143
0.033,25.5938
0.034,25.563
0.035,25.5219
0.036,25.4707
0.037,25.4096
0.038,25.3388
0.039,25.2586
0.04,25.1691
0.041,25.0706
0.042,24.9632
0.043,24.8473
0.044,24.7229
0.045,24.5904
0.046,24.45
0.047,24.3019
0.048,24.1463
0.049,23.9836
0.05,23.8139
0.051,23.6375
0.052,23.4547
0.053,23.2658
0.054,23.0709
0.055,22.8703
0.056,22.6644
0.057,22.4534
0.058,22.2375
0.059,22.017
0.06,21.7922
0.061,21.5634
0.062,21.3308
0.063,21.0947
0.064,20.8555
0.065,20.6132
0.066,20.3684
0.067,20.1211
0.068,19.8717
0.069,19.6205
0.07,19.3678
0.071,19.1137
0.072,18.8587
0.073,18.6029
0.074,18.3466
0.075,18.0902
0.076,17.8338
0.077,17.5777
0.078,17.3223
0.079,17.0677
0.08,16.8143
0.081,16.5622
0.082,16.3117
0.083,16.0632
0.084,15.8167
0.085,15.5727
0.086,15.3312
0.087,15.0926
0.088,14.8571
0.089,14.625
0.09,14.3963
0.091,14.1715
0.092,13.9506
0.093,13.7339
0.094,13.5216
0.095,13.3139
0.096,13.111
0.097,12.9132
0.098,12.7205
0.099,12.5331
0.1,12.3514
0.101,12.1753
0.102,12.0051
0.103,11.8409
0.104,11.683
0.105,11.5314
0.106,11.3862
0.107,11.2477
0.108,11.1159
0.109,10.991
0.11,10.8731
0.111,10.7623
0.112,10.6586
0.113,10.5623
0.114,10.4733
0.115,10.3918
0.116,10.3178
0.117,10.2514
0.118,10.1927
0.119,10.1417
0.12,10.0985
0.121,10.0631
0.122,10.0355
0.123,10.0158
0.124,10.0039
0.125,10
0.126,10.0039
0.127,10.0158
0.128,10.0355
0.129,10.0631
0.13,10.0985
0.131,10.1417
0.132,10.1927
0.133,10.2514
0.134,10.3178
0.135,10.3918
0.136,10.4733
0.137,10.5623
0.138,10.6586
0.139,10.7623
0.14,10.8731
0.141,10.991
0.142,11.1159
0.143,11.2477
0.144,11.3862
0.145,11.5314
0.146,11.683
0.147,11.8409
0.148,12.0051
0.149,12.1753
0.15,12.3514
0.151,12.5331
0.152,12.7205
0.153,12.9132
0.154,13.111
0.155,13.3139
0.156,13.5216
0.157,13.7339
0.158,13.9506
0.159,14.1715
0.16,14.3963
0.161,14.625
0.162,14.8571
0.163,15.0926
0.164,15.3312
0.165,15.5727
0.166,15.8167
0.167,16.0632
0.168,16.3117
0.169,16.5622
0.17,16.8143
0.171,17.0677
0.172,17.3223
0.173,17.5777
0.174,17.8338
0.175,18.0902
0.176,18.3466
0.177,18.6029
0.178,18.8587
0.179,19.1137
0.18,19.3678
0.181,19.6205
0.182,19.8717
0.183,20.1211
0.184,20.3684
0.185,20.6132
0.186,20.8555
0.187,21.0947
0.188,21.3308
0.189,21.5634
0.19,21.7922
0.191,22.017
0.192,22.2375
0.193,22.4534
0.194,22.6644
0.195,22.8703
0.196,23.0709
0.197,23.2658
0.198,23.4547
0.199,23.6375
0.2,23.8139
0.201,23.9836
0.202,24.1463
0.203,24.3019
0.204,24.45
0.205,24.5904
0.206,24.7229
0.207,24.8473
0.208,24.9632
0.209,25.0706
0.21,25.1691
0.211,25.2586
0.212,25.3388
0.213,25.4096
0.214,25.4707
0.215,25.5219
0.216,25.563
0.217,25.5938
0.218,25.6143
0.219,25.6241
0.22,25.6231
0.221,25.6112
0.222,25.5881
0.223,25.5538
0.224,25.5081
0.225,25.4508
0.226,25.3819
0.227,25.3011
0.228,25.2084
0.229,25.1037
0.23,24.9868
0.231,24.8577
0.232,24.7162
0.233,24.5623
0.234,24.3959
0.235,24.217
0.236,24.0254
0.237,23.8211
0.238,23.6041
0.239,23.3743
0.24,23.1317
0.241,22.8762
0.242,22.608
0.243,22.3268
0.244,22.0328
0.245,21.726
0.246,21.4063
0.247,21.0739
0.248,20.7286
0.249,20.3707
0.25,20
0.251,19.6167
0.252,19.2208
0.253,18.8125
0.254,18.3917
0.255,17.9586
0.256,17.5132
0.257,17.0558
0.258,16.5862
0.259,16.1048
0.26,15.6117
0.261,15.1068
0.262,14.5905
0.263,14.0629
0.264,13.524
0.265,12.9741
0.266,12.4133
0.267,11.8419
0.268,11.26
0.269,10.6678
0.27,10.0654
0.271,9.45322
0.272,8.83133
0.273,8.19998
0.274,7.5594
0.275,6.90983
0.276,6.2515
0.277,5.58466
0.278,4.90956
0.279,4.22647
0.28,3.53564
0.281,2.83734
0.282,2.13186
0.283,1.41946
0.284,0.700448
0.285,-0.024899
0.286,-0.756281
0.287,-1.4934
0.288,-2.23594
0.289,-2.98361
0.29,-3.73607
0.291,-4.49303
0.292,-5.25415
0.293,-6.01911
0.294,-6.78757
0.295,-7.55922
0.296,-8.3337
0.297,-9.11069
0.298,-9.88983
0.299,-10.6708
0.3,-11.4532
0.301,-12.2368
0.302,-13.0211
0.303,-13.8058
0.304,-14.5906
0.305,-15.3751
0.306,-16.1589
0.307,-16.9418
0.308,-17.7232
0.309,-18.503
0.31,-19.2806
0.311,-20.0558
0.312,-20.8282
0.313,-21.5974
0.314,-22.3631
0.315,-23.1249
0.316,-23.8824
0.317,-24.6354
0.318,-25.3833
0.319,-26.126
0.32,-26.863
0.321,-27.594
0.322,-28.3186
0.323,-29.0365
0.324,-29.7474
0.325,-30.4508
0.326,-31.1466
0.327,-31.8342
0.328,-32.5135
0.329,-33.184
0.33,-33.8454
0.331,-34.4975
0.332,-35.1399
0.333,-35.7722
0.334,-36.3943
0.335,-37.0057
0.336,-37.6062
0.337,-38.1955
0.338,-38.7733
0.339,-39.3393
0.34,-39.8933
0.341,-40.4349
0.342,-40.9639
0.343,-41.48
0.344,-41.983
0.345,-42.4727
0.346,-42.9487
0.347,-43.4109
0.348,-43.859
0.349,-44.2928
0.35,-44.712
0.351,-45.1166
0.352,-45.5062
0.353,-45.8807
0.354,-46.2399
0.355,-46.5836
0.356,-46.9117
0.357,-47.2239
0.358,-47.5202
0.359,-47.8003
0.36,-48.0641
0.361,-48.3116
0.362,-48.5425
0.363,-48.7568
0.364,-48.9544
0.365,-49.1351
0.366,-49.2989
0.367,-49.4456
0.368,-49.5753
0.369,-49.6878
0.37,-49.7831
0.371,-49.8611
0.372,-49.9219
0.373,-49.9653
0.374,-49.9913
0.375,-50
0.376,-49.9913
0.377,-49.9653
0.378,-49.9219
0.379,-49.8611
0.38,-49.7831
0.381,-49.6878
0.382,-49.5753
0.383,-49.4456
0.384,-49.2989
0.385,-49.1351
0.386,-48.9544
0.387,-48.7568
0.388,-48.5425
0.389,-48.3116
0.39,-48.0641
0.391,-47.8003
0.392,-47.5202
0.393,-47.2239
0.394,-46.9117
0.395,-46.5836
0.396,-46.2399
0.397,-45.8807
0.398,-45.5062
0.399,-45.1166
0.4,-44.712
0.401,-44.2928
