Time, Disp
0,5
0.001,5.3274
0.002,5.64983
0.003,5.96728
0.004,6.27973
0.005,6.58717
0.006,6.88958
0.007,7.18698
0.008,7.47935
0.009,7.76671
0.01,8.04907
0.011,8.32645
0.012,8.59886
0.013,8.86633
0.014,9.12889
0.015,9.38658
0.016,9.63943
0.017,9.88749
0.018,10.1308
0.019,10.3694
0.02,10.6034
0.021,10.8328
0.022,11.0578
0.023,11.2782
0.024,11.4943
0.025,11.7061
0.026,11.9137
0.027,12.1172
0.028,12.3166
0.029,12.512
0.03,12.7036
0.031,12.8914
0.032,13.0756
0.033,13.2562
0.034,13.4333
0.035,13.6071
0.036,13.7776
0.037,13.945
0.038,14.1093
0.039,14.2708
0.04,14.4294
0.041,14.5854
0.042,14.7389
0.043,14.8899
0.044,15.0386
0.045,15.1852
0.046,15.3297
0.047,15.4722
0.048,15.613
0.049,15.7521
0.05,15.8897
0.051,16.0258
0.052,16.1607
0.053,16.2944
0.054,16.4271
0.055,16.5589
0.056,16.6899
0.057,16.8203
0.058,16.9502
0.059,17.0796
0.06,17.2089
0.061,17.3379
0.062,17.467
0.063,17.5961
0.064,17.7255
0.065,17.8552
0.066,17.9854
0.067,18.1161
0.068,18.2475
0.069,18.3797
0.07,18.5128
0.071,18.6469
0.072,18.7821
0.073,18.9184
0.074,19.0561
0.075,19.1951
0.076,19.3357
0.077,19.4777
0.078,19.6214
0.079,19.7669
0.08,19.9141
0.081,20.0631
0.082,20.2142
0.083,20.3672
0.084,20.5222
0.085,20.6794
0.086,20.8387
0.087,21.0003
0.088,21.1641
0.089,21.3302
0.09,21.4986
0.091,21.6694
0.092,21.8426
0.093,22.0182
0.094,22.1962
0.095,22.3766
0.096,22.5595
0.097,22.7449
0.098,22.9327
0.099,23.1229
0.1,23.3156
0.101,23.5107
0.102,23.7082
0.103,23.9081
0.104,24.1103
0.105,24.3148
0.106,24.5216
0.107,24.7307
0.108,24.9419
0.109,25.1553
0.11,25.3707
0.111,25.5881
0.112,25.8075
0.113,26.0288
0.114,26.2519
0.115,26.4768
0.116,26.7032
0.117,26.9313
0.118,27.1608
0.119,27.3917
0.12,27.6239
0.121,27.8572
0.122,28.0916
0.123,28.327
0.124,28.5633
0.125,28.8002
0.126,29.0378
0.127,29.2759
0.128,29.5144
0.129,29.7531
0.13,29.9919
0.131,30.2307
0.132,30.4693
0.133,30.7076
0.134,30.9455
0.135,31.1828
0.136,31.4194
0.137,31.6551
0.138,31.8897
0.139,32.1232
0.14,32.3553
0.141,32.586
0.142,32.815
0.143,33.0422
0.144,33.2675
0.145,33.4906
0.146,33.7115
0.147,33.9299
0.148,34.1458
0.149,34.3589
0.15,34.5691
0.151,34.7762
0.152,34.9801
0.153,35.1806
0.154,35.3776
0.155,35.5708
0.156,35.7602
0.157,35.9456
0.158,36.1268
0.159,36.3036
0.16,36.476
0.161,36.6438
0.162,36.8068
0.163,36.9648
0.164,37.1178
0.165,37.2656
0.166,37.4081
0.167,37.545
0.168,37.6764
0.169,37.802
0.17,37.9217
0.171,38.0353
0.172,38.1429
0.173,38.2442
0.174,38.3392
0.175,38.4276
0.176,38.5095
0.177,38.5847
0.178,38.6531
0.179,38.7146
0.18,38.7691
0.181,38.8165
0.182,38.8568
0.183,38.8898
0.184,38.9155
0.185,38.9339
0.186,38.9447
0.187,38.9481
0.188,38.9438
0.189,38.9319
0.19,38.9124
0.191,38.8851
0.192,38.85
0.193,38.8072
0.194,38.7565
0.195,38.698
0.196,38.6315
0.197,38.5572
0.198,38.4751
0.199,38.385
0.2,38.287
0.201,38.1811
0.202,38.0673
0.203,37.9457
0.204,37.8163
0.205,37.679
0.206,37.5339
0.207,37.3811
0.208,37.2206
0.209,37.0525
0.21,36.8767
0.211,36.6934
0.212,36.5026
0.213,36.3044
0.214,36.0988
0.215,35.886
0.216,35.666
0.217,35.4389
0.218,35.2047
0.219,34.9637
0.22,34.7158
0.221,34.4612
0.222,34.2
0.223,33.9323
0.224,33.6583
0.225,33.3779
0.226,33.0915
0.227,32.799
0.228,32.5006
0.229,32.1965
0.23,31.8867
0.231,31.5715
0.232,31.251
0.233,30.9253
0.234,30.5945
0.235,30.2589
0.236,29.9186
0.237,29.5736
0.238,29.2243
0.239,28.8707
0.24,28.513
0.241,28.1515
0.242,27.7861
0.243,27.4172
0.244,27.0448
0.245,26.6693
0.246,26.2906
0.247,25.909
0.248,25.5248
0.249,25.1379
0.25,24.7487
0.251,24.3573
0.252,23.9639
0.253,23.5686
0.254,23.1717
0.255,22.7733
0.256,22.3735
0.257,21.9726
0.258,21.5707
0.259,21.1681
0.26,20.7648
0.261,20.361
0.262,19.9569
0.263,19.5528
0.264,19.1487
0.265,18.7448
0.266,18.3412
0.267,17.9382
0.268,17.5359
0.269,17.1345
0.27,16.734
0.271,16.3347
0.272,15.9367
0.273,15.5401
0.274,15.1452
0.275,14.7519
0.276,14.3605
0.277,13.9712
0.278,13.5839
0.279,13.1989
0.28,12.8163
0.281,12.4362
0.282,12.0586
0.283,11.6839
0.284,11.3119
0.285,10.9428
0.286,10.5768
0.287,10.2139
0.288,9.85426
0.289,9.49789
0.29,9.14489
0.291,8.79536
0.292,8.44935
0.293,8.10695
0.294,7.7682
0.295,7.43318
0.296,7.10193
0.297,6.7745
0.298,6.45095
0.299,6.1313
0.3,5.81559
0.301,5.50386
0.302,5.19613
0.303,4.89242
0.304,4.59274
0.305,4.29712
0.306,4.00554
0.307,3.71802
0.308,3.43455
0.309,3.15512
0.31,2.87973
0.311,2.60835
0.312,2.34097
0.313,2.07755
0.314,1.81807
0.315,1.56249
0.316,1.31077
0.317,1.06287
0.318,0.818738
0.319,0.578327
0.32,0.341578
0.321,0.108432
0.322,-0.121176
0.323,-0.347313
0.324,-0.570051
0.325,-0.789466
0.326,-1.00563
0.327,-1.21864
0.328,-1.42857
0.329,-1.63551
0.33,-1.83955
0.331,-2.04079
0.332,-2.23932
0.333,-2.43525
0.334,-2.62868
0.335,-2.81971
0.336,-3.00845
0.337,-3.19501
0.338,-3.37951
0.339,-3.56205
0.34,-3.74275
0.341,-3.92174
0.342,-4.09912
0.343,-4.27502
0.344,-4.44957
0.345,-4.62287
0.346,-4.79507
0.347,-4.96627
0.348,-5.13661
0.349,-5.30622
0.35,-5.47521
0.351,-5.64371
0.352,-5.81185
0.353,-5.97976
0.354,-6.14757
0.355,-6.31538
0.356,-6.48334
0.357,-6.65157
0.358,-6.82018
0.359,-6.9893
0.36,-7.15906
0.361,-7.32957
0.362,-7.50095
0.363,-7.67331
0.364,-7.84678
0.365,-8.02146
0.366,-8.19747
0.367,-8.37491
0.368,-8.55389
0.369,-8.73452
0.37,-8.9169
0.371,-9.10113
0.372,-9.2873
0.373,-9.4755
0.374,-9.66584
0.375,-9.85839
0.376,-10.0532
0.377,-10.2505
0.378,-10.4502
0.379,-10.6524
0.38,-10.8572
0.381,-11.0647
0.382,-11.2749
0.383,-11.4879
0.384,-11.7038
0.385,-11.9225
0.386,-12.1442
0.387,-12.3689
0.388,-12.5966
0.389,-12.8273
0.39,-13.0612
0.391,-13.2981
0.392,-13.5382
0.393,-13.7814
0.394,-14.0278
0.395,-14.2774
0.396,-14.5301
0.397,-14.786
0.398,-15.045
0.399,-15.3072
0.4,-15.5725
0.401,-15.8409
0.402,-16.1124
0.403,-16.3869
0.404,-16.6645
0.405,-16.9451
0.406,-17.2285
0.407,-17.5149
0.408,-17.804
0.409,-18.096
0.41,-18.3906
0.411,-18.6879
0.412,-18.9878
0.413,-19.2901
0.414,-19.5948
0.415,-19.9019
0.416,-20.2112
0.417,-20.5227
0.418,-20.8361
0.419,-21.1516
0.42,-21.4688
0.421,-21.7878
0.422,-22.1084
0.423,-22.4305
0.424,-22.754
0.425,-23.0787
0.426,-23.4045
0.427,-23.7314
0.428,-24.0591
0.429,-24.3875
0.43,-24.7165
0.431,-25.046
0.432,-25.3757
0.433,-25.7056
0.434,-26.0355
0.435,-26.3653
0.436,-26.6947
0.437,-27.0237
0.438,-27.3521
0.439,-27.6797
0.44,-28.0064
0.441,-28.332
0.442,-28.6563
0.443,-28.9791
0.444,-29.3004
0.445,-29.6199
0.446,-29.9375
0.447,-30.253
0.448,-30.5662
0.449,-30.877
0.45,-31.1852
0.451,-31.4907
0.452,-31.7931
0.453,-32.0925
0.454,-32.3886
0.455,-32.6813
0.456,-32.9703
0.457,-33.2556
0.458,-33.537
0.459,-33.8143
0.46,-34.0873
0.461,-34.3559
0.462,-34.6199
0.463,-34.8792
0.464,-35.1336
0.465,-35.3829
0.466,-35.6271
0.467,-35.866
0.468,-36.0994
0.469,-36.3272
0.47,-36.5492
0.471,-36.7654
0.472,-36.9755
0.473,-37.1795
0.474,-37.3772
0.475,-37.5685
0.476,-37.7533
0.477,-37.9315
0.478,-38.1029
0.479,-38.2675
0.48,-38.4251
0.481,-38.5757
0.482,-38.7192
0.483,-38.8554
0.484,-38.9843
0.485,-39.1059
0.486,-39.2199
0.487,-39.3264
0.488,-39.4253
0.489,-39.5165
0.49,-39.6
0.491,-39.6756
0.492,-39.7435
0.493,-39.8034
0.494,-39.8555
0.495,-39.8996
0.496,-39.9357
0.497,-39.9638
0.498,-39.9839
0.499,-39.996
0.5,-40
0.501,-39.996
0.502,-39.9839
0.503,-39.9638
0.504,-39.9357
0.505,-39.8996
0.506,-39.8555
0.507,-39.8034
0.508,-39.7435
0.509,-39.6756
0.51,-39.6
0.511,-39.5165
0.512,-39.4253
0.513,-39.3264
0.514,-39.2199
0.515,-39.1059
0.516,-38.9843
0.517,-38.8554
0.518,-38.7192
0.519,-38.5757
0.52,-38.4251
0.521,-38.2675
0.522,-38.1029
0.523,-37.9315
0.524,-37.7533
0.525,-37.5685
0.526,-37.3772
0.527,-37.1795
0.528,-36.9755
0.529,-36.7654
0.53,-36.5492
