Time, Disp
0,8
0.001,8.502
0.002,9.00262
0.003,9.50172
0.004,9.99919
0.005,10.4949
0.006,10.9887
0.007,11.4806
0.008,11.9703
0.009,12.4577
0.01,12.9428
0.011,13.4254
0.012,13.9054
0.013,14.3827
0.014,14.8571
0.015,15.3285
0.016,15.7969
0.017,16.2621
0.018,16.7239
0.019,17.1823
0.02,17.6372
0.021,18.0884
0.022,18.5358
0.023,18.9794
0.024,19.4189
0.025,19.8543
0.026,20.2855
0.027,20.7124
0.028,21.1348
0.029,21.5527
0.03,21.9659
0.031,22.3744
0.032,22.778
0.033,23.1766
0.034,23.5702
0.035,23.9586
0.036,24.3417
0.037,24.7195
0.038,25.0918
0.039,25.4585
0.04,25.8196
0.041,26.1749
0.042,26.5244
0.043,26.868
0.044,27.2055
0.045,27.537
0.046,27.8622
0.047,28.1812
0.048,28.4938
0.049,28.7999
0.05,29.0996
0.051,29.3926
0.052,29.6789
0.053,29.9585
0.054,30.2313
0.055,30.4971
0.056,30.756
0.057,31.0078
0.058,31.2525
0.059,31.49
0.06,31.7203
0.061,31.9433
0.062,32.1589
0.063,32.367
0.064,32.5677
0.065,32.7609
0.066,32.9464
0.067,33.1243
0.068,33.2945
0.069,33.4569
0.07,33.6116
0.071,33.7584
0.072,33.8973
0.073,34.0283
0.074,34.1514
0.075,34.2664
0.076,34.3734
0.077,34.4724
0.078,34.5632
0.079,34.6459
0.08,34.7204
0.081,34.7868
0.082,34.8449
0.083,34.8948
0.084,34.9365
0.085,34.9699
0.086,34.995
0.087,35.0118
0.088,35.0203
0.089,35.0204
0.09,35.0123
0.091,34.9958
0.092,34.9709
0.093,34.9377
0.094,34.8962
0.095,34.8464
0.096,34.7882
0.097,34.7216
0.098,34.6468
0.099,34.5636
0.1,34.4721
0.101,34.3724
0.102,34.2644
0.103,34.1481
0.104,34.0236
0.105,33.8909
0.106,33.75
0.107,33.6009
0.108,33.4437
0.109,33.2784
0.11,33.1051
0.111,32.9237
0.112,32.7343
0.113,32.5369
0.114,32.3317
0.115,32.1185
0.116,31.8975
0.117,31.6687
0.118,31.4322
0.119,31.188
0.12,30.9361
0.121,30.6767
0.122,30.4097
0.123,30.1352
0.124,29.8534
0.125,29.5641
0.126,29.2676
0.127,28.9639
0.128,28.6529
0.129,28.3349
0.13,28.0099
0.131,27.6779
0.132,27.339
0.133,26.9933
0.134,26.6409
0.135,26.2818
0.136,25.9162
0.137,25.544
0.138,25.1655
0.139,24.7806
0.14,24.3895
0.141,23.9922
0.142,23.5889
0.143,23.1796
0.144,22.7644
0.145,22.3435
0.146,21.9168
0.147,21.4846
0.148,21.0468
0.149,20.6037
0.15,20.1553
0.151,19.7017
0.152,19.243
0.153,18.7793
0.154,18.3107
0.155,17.8373
0.156,17.3593
0.157,16.8768
0.158,16.3898
0.159,15.8984
0.16,15.4029
0.161,14.9032
0.162,14.3996
0.163,13.8921
0.164,13.3808
0.165,12.8659
0.166,12.3475
0.167,11.8257
0.168,11.3006
0.169,10.7724
0.17,10.2411
0.171,9.7069
0.172,9.16993
0.173,8.63031
0.174,8.08815
0.175,7.54359
0.176,6.99675
0.177,6.44775
0.178,5.89674
0.179,5.34383
0.18,4.78915
0.181,4.23284
0.182,3.67503
0.183,3.11584
0.184,2.55541
0.185,1.99387
0.186,1.43136
0.187,0.867994
0.188,0.303917
0.189,-0.260741
0.19,-0.825846
0.191,-1.39127
0.192,-1.95687
0.193,-2.52251
0.194,-3.08807
0.195,-3.65341
0.196,-4.2184
0.197,-4.7829
0.198,-5.34678
0.199,-5.9099
0.2,-6.47214
0.201,-7.03335
0.202,-7.59341
0.203,-8.15217
0.204,-8.70952
0.205,-9.26531
0.206,-9.81942
0.207,-10.3717
0.208,-10.9221
0.209,-11.4703
0.21,-12.0164
0.211,-12.5601
0.212,-13.1013
0.213,-13.6399
0.214,-14.1758
0.215,-14.7089
